name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
mirage_f1ct,,,,,,,171.0,78.87,1.09,1.35,1.06,1.49,25.0,,,2.0,,,Mirage_F1CT,Mirage_F1CT,France,Aviation,11.3,11.3,11.0,4068.0,11964.0,12243.0,False,244.0,100.0,244.0,320.0,244.0,600.0
etndard_4m,,,,,,,457.0,56.97,1.0,1.07,1.39,1.46,,,,,,,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.0,9.3,3957.0,11912.0,13588.0,False,220.0,110.0,220.0,330.0,220.0,600.0
f-100d,49.0,100.0,2.19,1.34,0.75,0.37,516.0,66.21,1.87,2.92,0.46,0.73,,,,,,,F-100D,F-100D,USA,Aviation,9.3,9.3,9.7,4316.0,13669.0,13370.0,False,220.0,130.0,220.0,380.0,220.0,600.0
mig-19pt,82.0,50.0,1.35,1.81,,,557.0,47.04,1.17,1.3,0.22,0.24,6.0,,,,,,MiG-19PT,MiG-19PT,USSR,Aviation,9.7,9.3,9.7,4158.0,13679.0,13382.0,False,220.0,120.0,220.0,380.0,220.0,600.0
javelin_fmk9,,,,,,,41.0,100.0,3.86,,3.5,,,,,,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.3,8.3,8.7,4922.0,13436.0,14288.0,False,208.0,130.0,208.0,380.0,208.0,600.0
md_454_mystere_4a,,,,,,,44.0,50.0,0.13,0.19,,,,,,,,,M.D.454_IVA,Mystere_IVA,France,Aviation,9.0,8.7,8.7,4437.0,12780.0,14557.0,False,214.0,130.0,214.0,380.0,214.0,600.0
f-86k_late,,,,,,,126.0,56.43,1.17,1.77,0.64,0.81,,,,,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3,4435.0,12653.0,13357.0,False,214.0,130.0,214.0,380.0,214.0,600.0
hunter_f6,,,,,,,208.0,47.99,1.24,1.48,0.68,0.81,27.0,,,1.0,,,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,9.7,9.7,4182.0,14673.0,13722.0,False,226.0,120.0,226.0,380.0,226.0,600.0
md_450b_barougan,,,,,,,56.0,70.0,0.2,,0.57,1.4,,,,,,,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.3,7.7,7.7,4712.0,13078.0,17391.0,False,196.0,130.0,196.0,360.0,196.0,600.0
me-262c-2b,16.0,28.13,2.44,3.56,,,28.0,,,2.18,,,,,,,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0,4744.0,13321.0,17014.0,False,202.0,130.0,202.0,380.0,202.0,600.0
