name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
etndard_4m,110.0,81.72,0.88,1.11,3.37,4.37,1796.0,68.53,1.46,2.33,0.55,0.87,29.0,,5.38,5.38,4.0,4.0,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.0,9.3,4111.0,9499.0,14927.0,False,220,140,220,270,220,440
f-100d,1251.0,65.06,1.33,1.14,1.62,1.37,3042.0,49.07,0.52,0.52,0.63,0.64,252.0,60.89,8.3,5.11,0.52,0.31,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7,3507.0,8363.0,18885.0,False,226,130,226,230,226,380
mig-19pt,676.0,51.86,2.96,2.67,0.04,0.05,2750.0,52.15,0.77,0.88,0.1,0.1,93.0,66.67,3.58,4.0,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3,9273.0,9676.0,21504.0,False,226,150,226,250,226,490
javelin_fmk9,313.0,54.66,1.75,1.57,0.12,0.08,1254.0,54.11,1.24,1.43,0.14,0.15,76.0,100.0,11.0,4.58,0.75,0.74,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7,3555.0,8684.0,11534.0,False,226,140,226,290,226,370
f-86k_late,114.0,96.77,3.79,2.5,2.92,1.87,392.0,61.28,1.53,1.91,0.04,0.06,,,,,,,F-86K,F-86K_(France),France,Aviation,9.0,9.3,9.3,5422.0,17536.0,22932.0,False,214,140,214,310,214,400
hunter_f6,777.0,55.0,2.61,2.14,1.03,0.83,2335.0,61.21,1.68,2.29,0.32,0.44,49.0,72.22,11.07,14.53,1.23,1.62,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7,4613.0,20355.0,21712.0,False,226,130,226,260,226,480
md_450b_barougan,118.0,52.69,1.54,0.87,1.12,0.59,933.0,56.62,0.44,0.51,1.1,1.27,15.0,100.0,,,,,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7,2809.0,9981.0,6756.0,False,202,130,202,220,202,280
me-262c-2b,513.0,59.72,2.2,2.41,0.35,0.38,717.0,65.82,1.98,3.9,0.2,0.36,92.0,,6.27,3.82,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0,3592.0,15180.0,7210.0,False,208,120,208,310,208,310
mig-15bis_ish,69.0,35.79,2.91,5.18,1.6,2.79,2041.0,50.55,0.45,0.54,0.24,0.27,18.0,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0,1300.0,1800.0,1300.0,True,416,200,416,420,416,480
f-86f-35,103.0,38.51,1.57,1.13,1.93,1.45,4207.0,49.63,0.61,0.67,0.56,0.59,34.0,50.0,1.0,0.67,0.5,0.27,F-86F-35,F-86F-35,USA,Aviation,8.0,8.7,9.0,1300.0,2800.0,1500.0,True,464,200,464,460,464,540
