name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
etndard_4m,148.0,75.86,1.31,1.39,3.77,4.08,1246.0,54.0,1.48,1.69,0.83,0.93,38.0,100.0,2.0,3.0,,2.0,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.0,9.3,4579.0,14527.0,27180.0,False,220.0,100.0,220.0,260.0,220.0,490.0
f-100d,815.0,57.42,1.14,1.25,1.75,1.94,2822.0,50.84,1.04,1.27,0.47,0.57,567.0,100.0,15.35,2.03,1.51,0.21,F-100D,F-100D,USA,Aviation,9.7,9.7,9.7,3553.0,10807.0,22602.0,False,220.0,100.0,220.0,250.0,220.0,360.0
mig-19pt,471.0,61.51,1.09,1.35,0.07,0.07,2304.0,63.78,1.45,2.05,0.11,0.15,13.0,,,,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.0,9.7,10.3,6469.0,9805.0,24209.0,False,220.0,130.0,220.0,230.0,220.0,430.0
javelin_fmk9,96.0,33.87,2.17,1.68,,,322.0,49.72,1.94,1.84,0.18,0.21,22.0,,,,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7,3778.0,10138.0,16308.0,False,214.0,90.0,214.0,260.0,214.0,320.0
f-86k_late,98.0,100.0,2.25,2.11,1.03,0.98,181.0,72.69,1.79,3.22,0.17,0.33,1.0,,,2.0,,,F-86K,F-86K_(France),France,Aviation,9.0,9.3,9.3,8241.0,27019.0,40529.0,False,214.0,120.0,214.0,290.0,214.0,520.0
hunter_f6,195.0,56.27,3.35,2.32,0.12,0.11,1799.0,70.44,1.84,2.87,0.64,1.0,170.0,34.48,11.48,5.08,0.21,0.12,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7,6197.0,13590.0,44847.0,False,220.0,100.0,220.0,230.0,220.0,510.0
md_450b_barougan,101.0,93.83,1.61,1.23,2.71,1.86,898.0,59.28,0.68,0.75,1.0,1.11,30.0,,,1.38,,1.19,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7,3309.0,11336.0,9513.0,False,196.0,110.0,196.0,250.0,196.0,300.0
me-262c-2b,149.0,69.21,3.72,4.31,0.56,0.64,882.0,79.89,2.63,5.43,0.3,0.69,20.0,,,,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0,5701.0,17890.0,13937.0,False,202.0,120.0,202.0,330.0,202.0,300.0
mig-15bis_ish,4.0,100.0,3.0,3.0,4.0,4.0,340.0,67.66,1.06,0.97,0.74,0.63,22.0,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.3,8.7,2000.0,2900.0,890.0,True,416.0,200.0,416.0,400.0,416.0,540.0
f-86f-35,266.0,60.36,1.79,1.39,2.8,2.13,3275.0,56.83,0.89,0.98,0.84,0.91,114.0,100.0,1.71,0.4,,,F-86F-35,F-86F-35,USA,Aviation,8.0,8.3,9.0,2410.0,3700.0,2300.0,True,464.0,200.0,464.0,460.0,464.0,580.0
meteor_fmk8_reaper,32.0,,1.7,1.92,2.83,3.02,2512.0,62.1,0.41,0.45,1.5,1.64,50.0,100.0,6.0,3.23,5.0,1.91,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0,2400.0,4400.0,7400.0,True,428.0,180.0,428.0,420.0,428.0,540.0
canberra_bmk2,68.0,100.0,,,10.26,10.26,284.0,65.78,,,0.94,1.22,59.0,,,0.63,,0.79,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,8.3,8.3,7.7,15674.0,26123.0,65919.0,False,190.0,150.0,190.0,380.0,190.0,430.0
yak-17,182.0,65.21,2.97,3.08,1.05,1.22,28.0,,,,,,1.0,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0,6254.0,23959.0,16393.0,False,202.0,130.0,202.0,370.0,202.0,390.0
f-86f-30_japan,24.0,100.0,1.75,1.75,3.92,3.92,1848.0,64.97,1.4,1.96,1.11,1.56,20.0,,,3.56,,,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,8.3,8.7,5674.0,10254.0,14888.0,False,202.0,130.0,202.0,250.0,202.0,360.0
yak-30d,284.0,57.4,3.73,3.55,0.32,0.37,331.0,73.76,1.93,4.19,0.95,2.14,21.0,,,2.47,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0,10947.0,17822.0,30552.0,False,208.0,140.0,208.0,330.0,208.0,380.0
hunter_f1,52.0,42.0,1.96,1.89,,,456.0,55.87,2.01,2.32,0.89,1.04,,,,,,,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0,5327.0,19026.0,31338.0,False,214.0,100.0,214.0,290.0,214.0,450.0
me-163b,92.0,88.89,5.81,4.18,1.49,1.35,260.0,54.73,1.33,1.5,0.01,0.01,20.0,,,3.0,,0.67,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0,7301.0,11760.0,10045.0,False,202.0,140.0,202.0,310.0,202.0,260.0
f-86f-40_japan,58.0,100.0,3.35,2.95,3.91,3.45,933.0,39.3,1.18,1.28,0.83,0.89,107.0,100.0,10.0,8.0,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3,6619.0,14860.0,48811.0,False,208.0,150.0,208.0,270.0,208.0,570.0
yak-23,266.0,62.87,2.22,3.0,1.0,1.38,210.0,69.08,2.03,2.46,0.5,0.6,,,,,,,Yak-23,Yak-23,USSR,Aviation,8.0,8.3,7.7,9709.0,30264.0,29003.0,False,202.0,140.0,202.0,360.0,202.0,370.0
f9f-8,813.0,57.95,1.38,1.42,1.72,1.77,826.0,59.93,2.3,2.55,1.18,1.33,30.0,100.0,7.39,,5.39,,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3,5160.0,21503.0,20536.0,False,214.0,110.0,214.0,320.0,214.0,330.0
f-86a-5,430.0,43.45,1.43,1.04,2.57,1.83,3652.0,52.14,1.05,1.06,0.98,1.0,29.0,100.0,3.5,,1.0,,F-86A-5,F-86A-5,USA,Aviation,8.0,8.3,8.7,4431.0,10010.0,12564.0,False,202.0,110.0,202.0,270.0,202.0,380.0
f3d_1,161.0,30.86,1.19,0.84,5.75,4.26,2016.0,59.75,1.11,1.22,2.02,2.21,22.0,,,1.58,,,F3D-1,F3D-1,USA,Aviation,7.0,7.0,7.0,4274.0,9647.0,20836.0,False,196.0,100.0,196.0,220.0,196.0,360.0
r2y2_kai,17.0,,,2.5,,3.25,557.0,70.49,2.65,3.1,2.03,2.35,22.0,,,9.14,,,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.3,7.7,6186.0,23703.0,26815.0,False,202.0,110.0,202.0,270.0,202.0,400.0
r2y2_v1,11.0,,1.0,1.0,1.45,1.45,584.0,67.63,1.08,1.18,1.61,1.71,23.0,,,3.39,,,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.3,7.0,5034.0,12446.0,15863.0,False,190.0,100.0,190.0,270.0,190.0,360.0
r2y2_v2,11.0,,,1.18,,1.91,213.0,59.93,1.24,1.55,1.54,1.88,15.0,,,3.33,,,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.3,7.3,5720.0,19220.0,19600.0,False,196.0,100.0,196.0,280.0,196.0,400.0
me-262a-1a,51.0,83.11,5.15,5.43,0.16,0.2,885.0,56.26,2.12,2.72,1.25,1.68,9.0,,,,,,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0,3712.0,12315.0,26290.0,False,190.0,120.0,190.0,330.0,190.0,440.0
f-86f-2,595.0,55.42,3.55,3.48,0.85,0.86,4135.0,65.16,1.45,2.05,0.8,1.14,6.0,,,,,,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0,5552.0,18913.0,18846.0,False,214.0,100.0,214.0,260.0,214.0,330.0
f-86_canadair_german,145.0,91.88,4.36,2.91,3.64,2.34,814.0,58.27,1.2,1.64,1.06,1.47,,,,,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0,4363.0,13996.0,18913.0,False,214.0,110.0,214.0,250.0,214.0,350.0
f-84g,205.0,60.84,1.9,2.04,2.65,2.85,860.0,75.97,1.86,1.94,2.49,2.62,15.0,,,4.4,,0.47,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0,4770.0,14739.0,11657.0,False,196.0,110.0,196.0,310.0,196.0,310.0
la_200_toriy,235.0,65.8,1.9,1.51,0.45,0.41,435.0,29.47,1.22,1.02,0.3,0.25,47.0,,,0.65,,,La-200,La-200,USSR,Aviation,8.0,8.0,8.0,3162.0,9682.0,9295.0,False,208.0,110.0,208.0,300.0,208.0,340.0
md_452_mystere_2c_preproduction,133.0,53.08,1.59,0.91,2.08,1.22,1018.0,61.35,1.18,1.59,1.34,1.84,2.0,,,,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.3,8.7,5653.0,16824.0,17667.0,False,208.0,110.0,208.0,290.0,208.0,380.0
sea_hawk_fga6,126.0,100.0,0.97,1.13,4.36,5.37,1475.0,68.92,0.47,0.72,1.23,1.87,32.0,,,0.4,,0.12,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,7.7,7.3,4274.0,13145.0,18759.0,False,202.0,100.0,202.0,270.0,202.0,370.0
sea_venom_faw20,109.0,88.71,3.24,3.22,2.55,2.51,269.0,58.85,1.78,1.77,1.44,1.63,19.0,,,1.63,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,7.7,8.0,4287.0,12461.0,24119.0,False,208.0,110.0,208.0,380.0,208.0,460.0
arado-234,97.0,91.4,,,11.7,13.99,2672.0,50.74,,,2.49,4.81,14.0,,,,,,Ar_234_B-2,Ar_234_B-2,Germany,Aviation,6.3,6.3,6.7,8707.0,12066.0,18659.0,False,190.0,150.0,190.0,270.0,190.0,490.0
fj_4b,578.0,66.35,0.8,0.98,3.66,4.45,822.0,61.22,1.5,1.88,0.68,0.8,17.0,100.0,2.0,2.0,1.0,1.0,FJ-4B,FJ-4B,USA,Aviation,9.0,8.7,9.0,3782.0,12348.0,29141.0,False,226.0,90.0,226.0,240.0,226.0,370.0
f-84g_france,163.0,68.06,1.85,1.83,4.71,4.87,939.0,71.62,1.86,1.95,2.55,2.64,108.0,100.0,9.24,3.08,1.81,0.45,F-84G-26-RE,F-84G-26-RE_(France),France,Aviation,7.7,7.7,8.0,4783.0,20099.0,10451.0,False,196.0,110.0,196.0,320.0,196.0,300.0
tu_14t,259.0,69.55,0.41,0.46,5.82,6.7,342.0,27.83,0.22,0.29,0.69,0.85,146.0,100.0,6.67,0.95,1.0,0.5,Tu-14T,Tu-14T,USSR,Aviation,8.0,8.0,8.0,6083.0,14058.0,25560.0,False,196.0,100.0,196.0,270.0,196.0,350.0
il_28sh,556.0,65.88,0.33,0.34,5.43,5.74,2037.0,44.12,0.29,0.32,0.88,0.93,773.0,79.49,7.11,1.55,2.69,0.67,IL-28Sh,IL-28Sh,USSR,Aviation,8.0,8.0,8.0,6901.0,8434.0,19170.0,False,202.0,110.0,202.0,200.0,202.0,360.0
